# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-4.32718229e-02 2.04083786e-27 0.00000000e+00)	(-4.32718229e-02 2.04083786e-27 0.00000000e+00)
0.5             	bot_wall	(-4.32720370e-02 9.55461238e-19 0.00000000e+00)	(-4.32720370e-02 9.55461238e-19 0.00000000e+00)
1               	top_wall	(-4.30181435e-02 3.17312221e-27 0.00000000e+00)	(-4.30181435e-02 3.17312221e-27 0.00000000e+00)
1               	bot_wall	(-4.30180618e-02 1.35006948e-18 0.00000000e+00)	(-4.30180618e-02 1.35006948e-18 0.00000000e+00)
1.5             	top_wall	(-4.27082736e-02 3.64750144e-27 0.00000000e+00)	(-4.27082736e-02 3.64750144e-27 0.00000000e+00)
1.5             	bot_wall	(-4.27081492e-02 1.19419651e-18 0.00000000e+00)	(-4.27081492e-02 1.19419651e-18 0.00000000e+00)
2               	top_wall	(-4.24158920e-02 3.96407129e-27 0.00000000e+00)	(-4.24158920e-02 3.96407129e-27 0.00000000e+00)
2               	bot_wall	(-4.24157870e-02 1.49414829e-18 0.00000000e+00)	(-4.24157870e-02 1.49414829e-18 0.00000000e+00)
2.5             	top_wall	(-4.21674897e-02 4.36231080e-27 0.00000000e+00)	(-4.21674897e-02 4.36231080e-27 0.00000000e+00)
2.5             	bot_wall	(-4.21674027e-02 1.55411037e-18 0.00000000e+00)	(-4.21674027e-02 1.55411037e-18 0.00000000e+00)
3               	top_wall	(-4.19640174e-02 5.39984994e-27 0.00000000e+00)	(-4.19640174e-02 5.39984994e-27 0.00000000e+00)
3               	bot_wall	(-4.19639453e-02 2.12396443e-18 0.00000000e+00)	(-4.19639453e-02 2.12396443e-18 0.00000000e+00)
3.5             	top_wall	(-4.18007014e-02 5.76328630e-27 0.00000000e+00)	(-4.18007014e-02 5.76328630e-27 0.00000000e+00)
3.5             	bot_wall	(-4.18006465e-02 1.35547591e-18 0.00000000e+00)	(-4.18006465e-02 1.35547591e-18 0.00000000e+00)
4               	top_wall	(-4.16721592e-02 5.53340030e-27 0.00000000e+00)	(-4.16721592e-02 5.53340030e-27 0.00000000e+00)
