# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-3.43666132e-01 8.77732732e-27 0.00000000e+00)	(-3.43666132e-01 8.77732732e-27 0.00000000e+00)
0.5             	bot_wall	(-3.43666136e-01 -2.90341165e-17 0.00000000e+00)	(-3.43666136e-01 -2.90341165e-17 0.00000000e+00)
1               	top_wall	(-2.53897905e-01 1.33072709e-26 0.00000000e+00)	(-2.53897905e-01 1.33072709e-26 0.00000000e+00)
1               	bot_wall	(-2.53897910e-01 5.08604695e-17 0.00000000e+00)	(-2.53897910e-01 5.08604695e-17 0.00000000e+00)
1.5             	top_wall	(-2.14638868e-01 1.37922367e-26 0.00000000e+00)	(-2.14638868e-01 1.37922367e-26 0.00000000e+00)
1.5             	bot_wall	(-2.14638872e-01 4.10276670e-17 0.00000000e+00)	(-2.14638872e-01 4.10276670e-17 0.00000000e+00)
2               	top_wall	(-1.91482685e-01 3.07164744e-26 0.00000000e+00)	(-1.91482685e-01 3.07164744e-26 0.00000000e+00)
2               	bot_wall	(-1.91482689e-01 6.28151730e-18 0.00000000e+00)	(-1.91482689e-01 6.28151730e-18 0.00000000e+00)
2.5             	top_wall	(-1.75840714e-01 3.60877813e-26 0.00000000e+00)	(-1.75840714e-01 3.60877813e-26 0.00000000e+00)
2.5             	bot_wall	(-1.75840719e-01 2.45471977e-17 0.00000000e+00)	(-1.75840719e-01 2.45471977e-17 0.00000000e+00)
3               	top_wall	(-1.64412063e-01 4.12097330e-26 0.00000000e+00)	(-1.64412063e-01 4.12097330e-26 0.00000000e+00)
3               	bot_wall	(-1.64412067e-01 2.35946277e-17 0.00000000e+00)	(-1.64412067e-01 2.35946277e-17 0.00000000e+00)
3.5             	top_wall	(-1.55621985e-01 3.23382136e-26 0.00000000e+00)	(-1.55621985e-01 3.23382136e-26 0.00000000e+00)
3.5             	bot_wall	(-1.55621989e-01 4.39521175e-17 0.00000000e+00)	(-1.55621989e-01 4.39521175e-17 0.00000000e+00)
4               	top_wall	(-1.48611906e-01 2.36344386e-26 0.00000000e+00)	(-1.48611906e-01 2.36344386e-26 0.00000000e+00)
4               	bot_wall	(-1.48611911e-01 7.39713595e-17 0.00000000e+00)	(-1.48611911e-01 7.39713595e-17 0.00000000e+00)
4.5             	top_wall	(-1.42868848e-01 2.38547230e-26 0.00000000e+00)	(-1.42868848e-01 2.38547230e-26 0.00000000e+00)
4.5             	bot_wall	(-1.42868853e-01 4.59318626e-17 0.00000000e+00)	(-1.42868853e-01 4.59318626e-17 0.00000000e+00)
5               	top_wall	(-1.38065026e-01 1.85496616e-26 0.00000000e+00)	(-1.38065026e-01 1.85496616e-26 0.00000000e+00)
5               	bot_wall	(-1.38065030e-01 4.28582915e-17 0.00000000e+00)	(-1.38065030e-01 4.28582915e-17 0.00000000e+00)
5.5             	top_wall	(-1.33979982e-01 6.39070367e-27 0.00000000e+00)	(-1.33979982e-01 6.39070367e-27 0.00000000e+00)
5.5             	bot_wall	(-1.33979986e-01 5.37703237e-17 0.00000000e+00)	(-1.33979986e-01 5.37703237e-17 0.00000000e+00)
6               	top_wall	(-1.30459294e-01 -5.45220010e-26 0.00000000e+00)	(-1.30459294e-01 -5.45220010e-26 0.00000000e+00)
6               	bot_wall	(-1.30459298e-01 7.32862882e-17 0.00000000e+00)	(-1.30459298e-01 7.32862882e-17 0.00000000e+00)
6.5             	top_wall	(-1.27391188e-01 -2.01591351e-25 0.00000000e+00)	(-1.27391188e-01 -2.01591351e-25 0.00000000e+00)
6.5             	bot_wall	(-1.27391192e-01 7.32078491e-17 0.00000000e+00)	(-1.27391192e-01 7.32078491e-17 0.00000000e+00)
