# y_plus_values_1, u_plus_values_1
0.320636, 0.320638
0.961911, 0.961057
1.603182, 1.601042
2.244455, 2.239753
2.885728, 2.878028
3.527001, 3.515452
4.168274, 4.152009
4.809547, 4.788144
5.450831, 5.423001
6.092104, 6.057437
6.733377, 6.691030
7.374650, 7.323733
8.015923, 7.955968
8.657196, 8.587032
9.298469, 9.217580
9.939742, 9.847286
10.581015, 10.476149
11.222277, 11.104591
11.863550, 11.731768
12.504823, 12.358477
13.146096, 12.984343
13.787369, 13.609366
14.428642, 14.233921
15.069915, 14.857258
15.711188, 15.480127
16.352461, 16.102153
16.993733, 16.723290
17.635006, 17.344004
18.276279, 17.963455
18.917552, 18.582437
19.558825, 19.200670
20.200098, 19.817966
20.841371, 20.434795
21.482644, 21.050452
22.123917, 21.665594
22.765190, 22.279940
23.406463, 22.893397
24.047736, 23.506385
24.689009, 24.118155
25.330282, 24.729458
25.971555, 25.339964
26.612828, 25.949533
27.254101, 26.558682
27.895374, 27.166612
28.536647, 27.774028
29.177920, 28.380694
29.819193, 28.986423
30.460466, 29.591732
31.101739, 30.195776
31.743012, 30.799398
32.384285, 31.402177
33.025558, 32.004067
33.666830, 32.605535
34.308103, 33.205739
34.949376, 33.805475
35.590649, 34.404461
36.231922, 35.002464
36.873195, 35.600045
37.514468, 36.196409
38.155741, 36.792305
38.797014, 37.387404
39.438287, 37.981567
40.079560, 38.575309
40.720833, 39.167833
41.362106, 39.759889
42.003379, 40.351148
42.644652, 40.941471
43.285925, 41.531373
43.927198, 42.120010
44.568471, 42.708179
45.209744, 43.295598
45.851017, 43.882035
46.492290, 44.468049
47.133563, 45.052893
47.774836, 45.637222
48.416109, 46.220802
49.057382, 46.803398
49.698655, 47.385526
50.339927, 47.966671
50.981200, 48.547347
51.622473, 49.126618
52.263746, 49.705422
52.905019, 50.283756
53.546399, 50.861155
54.187672, 51.437616
54.828945, 52.013610
55.470218, 52.588198
56.111491, 53.162787
56.752764, 53.735971
57.394037, 54.308686
58.035310, 54.880933
58.676583, 55.451775
59.317856, 56.022618
59.959129, 56.592055
60.600402, 57.161024
61.241675, 57.729057
61.882948, 58.296153
62.524221, 58.863249
63.165493, 59.428940
63.806766, 59.993694
64.448039, 60.557980
65.089312, 61.121330
65.730585, 61.684211
66.371858, 62.245688
67.013131, 62.807164
67.654404, 63.367704
68.295677, 63.926839
68.936950, 64.485974
69.578223, 65.044173
70.219496, 65.601435
70.860769, 66.158228
71.502042, 66.713617
72.143315, 67.269006
72.784588, 67.822990
73.425861, 68.376037
74.067134, 68.929085
74.708407, 69.481195
75.349680, 70.032370
75.990953, 70.582607
76.632226, 71.131908
77.273499, 71.681209
77.914772, 72.229105
78.556045, 72.776533
79.197318, 73.322556
79.838590, 73.868579
80.479863, 74.413197
81.121136, 74.957816
81.762409, 75.501497
82.403682, 76.043774
83.044955, 76.585582
83.686228, 77.126922
84.327501, 77.667326
84.968774, 78.206793
85.610047, 78.745792
86.251320, 79.283854
86.892593, 79.820979
87.533866, 80.357637
88.175139, 80.893357
88.816412, 81.428142
89.457685, 81.962457
90.098958, 82.496305
90.740231, 83.028748
91.381504, 83.560722
92.022777, 84.091760
92.664050, 84.621861
93.305323, 85.151494
93.946596, 85.680190
94.587869, 86.208419
95.229142, 86.735710
95.870415, 87.262065
96.511687, 87.787952
97.152960, 88.312902
97.794233, 88.836915
98.435506, 89.359992
99.076779, 89.882601
99.718052, 90.404741
100.359325, 90.925945
101.000598, 91.446681
101.641871, 91.965543
102.283144, 92.484405
102.924417, 93.002799
103.565690, 93.519789
104.206963, 94.036310
104.848236, 94.551894
105.489509, 95.067010
106.130782, 95.581189
106.772055, 96.094432
107.413755, 96.607207
108.054387, 97.119045
108.696087, 97.630415
109.336720, 98.140848
109.978420, 98.649876
110.620120, 99.158905
111.260752, 99.666996
111.902452, 100.174152
112.543084, 100.680838
113.184784, 101.186120
113.826485, 101.691402
114.467117, 102.195280
115.108817, 102.698688
115.749449, 103.201161
116.391149, 103.703165
117.032849, 104.204232
117.673482, 104.704363
118.315182, 105.204026
118.955814, 105.702752
119.597514, 106.200541
120.239214, 106.698331
120.879846, 107.194715
121.521547, 107.690163
122.162179, 108.185143
122.803879, 108.679186
123.445579, 109.172292
124.086211, 109.664931
124.727911, 110.156632
125.368544, 110.648334
126.010244, 111.138163
126.651944, 111.627991
127.292576, 112.116415
127.934276, 112.604370
128.574908, 113.091857
129.216609, 113.577940
129.858309, 114.064022
130.498941, 114.548699
131.140641, 115.032908
131.781273, 115.516181
132.422973, 115.998985
133.064673, 116.480853
133.705306, 116.961784
