# y_plus_values_1, u_plus_values_1
0.321736, 0.322061
0.965210, 0.965322
1.608682, 1.608150
2.252155, 2.249204
2.895628, 2.888550
3.539101, 3.524550
4.182574, 4.150152
4.826047, 4.770421
5.469531, 5.356485
6.113004, 5.923882
6.756477, 6.455625
7.399950, 6.943732
8.043423, 7.410231
8.686896, 7.814522
9.330369, 8.199538
9.973841, 8.548386
10.617314, 8.865779
11.260777, 9.167865
11.904250, 9.432896
12.547723, 9.687054
13.191196, 9.921284
13.834668, 10.138199
14.478141, 10.346715
15.121614, 10.534743
15.765087, 10.716564
16.408560, 10.887138
17.052033, 11.047491
17.695506, 11.202944
18.338979, 11.346170
18.982452, 11.485429
19.625925, 11.617782
20.269398, 11.743554
20.912871, 11.866245
21.556344, 11.980910
22.199817, 12.092915
22.843290, 12.200346
23.486763, 12.303250
24.130236, 12.404008
24.773709, 12.499212
25.417182, 12.592549
26.060655, 12.682620
26.704128, 12.769423
27.347600, 12.854640
27.991073, 12.935890
28.634546, 13.015647
29.278019, 13.093024
29.921492, 13.167927
30.564965, 13.241663
31.208438, 13.312366
31.851911, 13.381949
32.495384, 13.449712
33.138857, 13.515515
33.782330, 13.580384
34.425803, 13.642920
35.069276, 13.704523
35.712749, 13.764725
36.356222, 13.823341
36.999695, 13.881257
37.643168, 13.937259
38.286641, 13.992515
38.930114, 14.046650
39.573587, 14.099479
40.217060, 14.151748
40.860532, 14.202430
41.504005, 14.252552
42.147478, 14.301648
42.790951, 14.349716
43.434424, 14.397318
44.077897, 14.443614
44.721370, 14.489396
45.364843, 14.534431
46.008316, 14.578486
46.651789, 14.622168
47.295262, 14.664776
47.938735, 14.706918
48.582208, 14.748407
49.225681, 14.789102
49.869154, 14.829423
50.512627, 14.868905
51.156100, 14.907920
51.799573, 14.946422
52.443046, 14.984223
53.086519, 15.021745
53.730099, 15.058426
54.373572, 15.094781
55.017045, 15.130716
55.660517, 15.165951
56.303990, 15.200952
56.947463, 15.235300
57.590936, 15.269322
58.234409, 15.302923
58.877882, 15.336058
59.521355, 15.368913
60.164828, 15.401161
60.808301, 15.433129
61.451774, 15.464723
62.095247, 15.495898
62.738720, 15.526793
63.382193, 15.557221
64.025666, 15.587322
64.669139, 15.617143
65.312612, 15.646591
65.956085, 15.675806
66.599558, 15.704553
67.243031, 15.733115
67.886504, 15.761349
68.529977, 15.789210
69.173449, 15.816931
69.816922, 15.844186
70.460395, 15.871254
71.103868, 15.898088
71.747341, 15.924549
72.390814, 15.950917
73.034287, 15.976865
73.677760, 16.002626
74.321233, 16.028154
74.964706, 16.053401
75.608179, 16.078462
76.251652, 16.103244
76.895125, 16.127791
77.538598, 16.152152
78.182071, 16.176233
78.825544, 16.200221
79.469017, 16.223835
80.112490, 16.247356
80.755963, 16.270644
81.399436, 16.293698
82.042909, 16.316659
82.686381, 16.339293
83.329854, 16.361788
83.973327, 16.384095
84.616800, 16.406170
85.260273, 16.428197
85.903746, 16.449945
86.547219, 16.471552
87.190692, 16.492973
87.834165, 16.514207
88.477638, 16.535348
89.121111, 16.556209
89.764584, 16.576977
90.408057, 16.597558
91.051530, 16.617998
91.695003, 16.638299
92.338476, 16.658414
92.981949, 16.678388
93.625422, 16.698269
94.268895, 16.717963
94.912368, 16.737517
95.555841, 16.756884
96.199313, 16.776158
96.842786, 16.795339
97.486259, 16.814287
98.129732, 16.833188
98.773205, 16.851902
99.416678, 16.870522
100.060151, 16.889050
100.703624, 16.907344
101.347097, 16.925591
101.990570, 16.943699
102.634043, 16.961713
103.277516, 16.979587
103.920989, 16.997321
104.564462, 17.015009
105.207935, 17.032509
105.851408, 17.049917
106.494881, 17.067231
107.138354, 17.084405
107.782255, 17.101532
108.425085, 17.118473
109.068987, 17.135367
109.711817, 17.152168
110.355718, 17.168782
110.999620, 17.185396
111.642450, 17.201823
112.286352, 17.218204
112.929182, 17.234491
113.573083, 17.250638
114.216985, 17.266739
114.859815, 17.282700
115.503716, 17.298614
116.146546, 17.314434
116.790448, 17.330162
117.434349, 17.345796
118.077180, 17.361290
118.721081, 17.376737
119.363911, 17.392091
120.007813, 17.407398
120.651714, 17.422612
121.294544, 17.437686
121.938446, 17.452714
122.581276, 17.467648
123.225177, 17.482488
123.869079, 17.497329
124.511909, 17.512029
125.155811, 17.526637
125.798641, 17.541197
126.442542, 17.555665
127.086444, 17.570085
127.729274, 17.584412
128.373175, 17.598646
129.016005, 17.612880
129.659907, 17.626974
130.303808, 17.641021
130.946639, 17.654975
131.590540, 17.668836
132.233370, 17.682697
132.877272, 17.696464
133.521173, 17.710138
134.164003, 17.723765
134.807905, 17.737299
135.450735, 17.750833
136.094637, 17.764227
136.738538, 17.777621
137.381368, 17.790921
138.025270, 17.804175
138.668100, 17.817336
139.312001, 17.830449
139.955903, 17.843470
140.598733, 17.856491
141.242634, 17.869418
141.885465, 17.882298
142.529366, 17.895086
143.173268, 17.907873
143.816098, 17.920567
144.459999, 17.933214
145.102829, 17.945814
145.746731, 17.958321
146.390632, 17.970829
147.033462, 17.983243
147.677364, 17.995563
148.320194, 18.007884
148.964096, 18.020157
149.607997, 18.032338
150.250827, 18.044518
150.894729, 18.056606
151.537559, 18.068646
152.181460, 18.080593
152.825362, 18.092587
153.468192, 18.104488
154.112093, 18.116341
154.754924, 18.128149
155.398825, 18.139862
156.042727, 18.151576
156.685557, 18.163197
157.329458, 18.174817
157.972288, 18.186391
158.616190, 18.197918
159.260091, 18.209399
159.902921, 18.220786
160.546823, 18.232126
161.189653, 18.243467
161.833555, 18.254761
162.477456, 18.266008
163.120286, 18.277162
163.764188, 18.288315
164.407018, 18.299469
165.050919, 18.310483
165.694821, 18.321543
166.337651, 18.332511
166.981552, 18.343431
167.624383, 18.354351
168.268284, 18.365179
168.912186, 18.376006
169.555016, 18.386740
170.198917, 18.397473
170.841747, 18.408207
171.485649, 18.418848
172.129550, 18.429488
172.772380, 18.440035
173.416282, 18.450536
174.059112, 18.461036
174.703014, 18.471490
175.346915, 18.481944
175.989745, 18.492304
176.633647, 18.502618
177.276477, 18.512931
177.920378, 18.523199
178.564280, 18.533466
179.207110, 18.543639
179.851012, 18.553813
180.493842, 18.563940
181.137743, 18.574021
181.781645, 18.584101
182.424475, 18.594088
183.068376, 18.604075
183.711206, 18.614016
184.355108, 18.623956
184.999009, 18.633850
185.641840, 18.643650
186.285741, 18.653451
186.928571, 18.663251
187.572473, 18.673005
188.216374, 18.682759
188.859204, 18.692419
189.503106, 18.702033
190.145936, 18.711646
190.789837, 18.721260
191.433739, 18.730827
192.076569, 18.740301
192.720471, 18.749775
193.363301, 18.759248
194.007202, 18.768676
194.651104, 18.778103
195.293934, 18.787436
195.937835, 18.796817
196.580665, 18.806150
197.224567, 18.815391
197.868468, 18.824631
198.511299, 18.833825
199.155200, 18.843019
199.798030, 18.852212
200.441932, 18.861313
201.085833, 18.870413
201.728663, 18.879467
202.372565, 18.888521
203.015395, 18.897574
203.659296, 18.906535
204.303198, 18.915495
204.946028, 18.924409
205.589930, 18.933322
206.232760, 18.942236
206.876661, 18.951057
207.520563, 18.959877
208.163393, 18.968651
208.807294, 18.977424
209.450124, 18.986198
210.094026, 18.994878
210.737927, 19.003559
211.380758, 19.012192
212.024659, 19.020873
212.667489, 19.029507
213.311391, 19.038047
213.955292, 19.046634
214.598122, 19.055128
215.242024, 19.063621
215.885925, 19.072115
216.528756, 19.080562
217.172657, 19.089009
217.815487, 19.097409
218.459389, 19.105810
219.103290, 19.114163
219.746120, 19.122517
220.390022, 19.130824
221.032852, 19.139084
