# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-9.03913418e-02 2.62434239e-28 0.00000000e+00)	(-9.03913418e-02 2.62434239e-28 0.00000000e+00)
0.5             	bot_wall	(-9.03915276e-02 -1.38023365e-18 0.00000000e+00)	(-9.03915276e-02 -1.38023365e-18 0.00000000e+00)
1               	top_wall	(-8.92431066e-02 -8.35409754e-28 0.00000000e+00)	(-8.92431066e-02 -8.35409754e-28 0.00000000e+00)
1               	bot_wall	(-8.92428658e-02 -7.11070380e-19 0.00000000e+00)	(-8.92428658e-02 -7.11070380e-19 0.00000000e+00)
1.5             	top_wall	(-8.81399786e-02 -1.09640169e-27 0.00000000e+00)	(-8.81399786e-02 -1.09640169e-27 0.00000000e+00)
1.5             	bot_wall	(-8.81397542e-02 -1.01554247e-18 0.00000000e+00)	(-8.81397542e-02 -1.01554247e-18 0.00000000e+00)
2               	top_wall	(-8.73523402e-02 -1.67417664e-27 0.00000000e+00)	(-8.73523402e-02 -1.67417664e-27 0.00000000e+00)
2               	bot_wall	(-8.73521613e-02 6.19400884e-19 0.00000000e+00)	(-8.73521613e-02 6.19400884e-19 0.00000000e+00)
2.5             	top_wall	(-8.67944539e-02 -2.11904234e-27 0.00000000e+00)	(-8.67944539e-02 -2.11904234e-27 0.00000000e+00)
2.5             	bot_wall	(-8.67943129e-02 -5.76921264e-19 0.00000000e+00)	(-8.67943129e-02 -5.76921264e-19 0.00000000e+00)
3               	top_wall	(-8.63997785e-02 -1.50387462e-27 0.00000000e+00)	(-8.63997785e-02 -1.50387462e-27 0.00000000e+00)
3               	bot_wall	(-8.63996862e-02 1.29582465e-18 0.00000000e+00)	(-8.63996862e-02 1.29582465e-18 0.00000000e+00)
3.5             	top_wall	(-8.61250281e-02 -1.06209579e-27 0.00000000e+00)	(-8.61250281e-02 -1.06209579e-27 0.00000000e+00)
3.5             	bot_wall	(-8.61249832e-02 7.52589679e-19 0.00000000e+00)	(-8.61249832e-02 7.52589679e-19 0.00000000e+00)
4               	top_wall	(-8.59416251e-02 -1.51255094e-27 0.00000000e+00)	(-8.59416251e-02 -1.51255094e-27 0.00000000e+00)
4               	bot_wall	(-8.59416165e-02 5.17368138e-19 0.00000000e+00)	(-8.59416165e-02 5.17368138e-19 0.00000000e+00)
4.5             	top_wall	(-8.58300559e-02 -2.55293827e-27 0.00000000e+00)	(-8.58300559e-02 -2.55293827e-27 0.00000000e+00)
4.5             	bot_wall	(-8.58300723e-02 1.02031850e-18 0.00000000e+00)	(-8.58300723e-02 1.02031850e-18 0.00000000e+00)
5               	top_wall	(-8.57765323e-02 4.17288112e-27 0.00000000e+00)	(-8.57765323e-02 4.17288112e-27 0.00000000e+00)
5               	bot_wall	(-8.57765655e-02 2.41754887e-19 0.00000000e+00)	(-8.57765655e-02 2.41754887e-19 0.00000000e+00)
5.5             	top_wall	(-8.57710393e-02 3.56388298e-26 0.00000000e+00)	(-8.57710393e-02 3.56388298e-26 0.00000000e+00)
5.5             	bot_wall	(-8.57710843e-02 1.74166950e-18 0.00000000e+00)	(-8.57710843e-02 1.74166950e-18 0.00000000e+00)
6               	top_wall	(-8.58061235e-02 1.38817843e-25 0.00000000e+00)	(-8.58061235e-02 1.38817843e-25 0.00000000e+00)
6               	bot_wall	(-8.58061771e-02 5.36859369e-19 0.00000000e+00)	(-8.58061771e-02 5.36859369e-19 0.00000000e+00)
6.5             	top_wall	(-8.58761100e-02 3.99318524e-25 0.00000000e+00)	(-8.58761100e-02 3.99318524e-25 0.00000000e+00)
6.5             	bot_wall	(-8.58761705e-02 -2.45036047e-19 0.00000000e+00)	(-8.58761705e-02 -2.45036047e-19 0.00000000e+00)
7               	top_wall	(-8.59766418e-02 9.54841349e-25 0.00000000e+00)	(-8.59766418e-02 9.54841349e-25 0.00000000e+00)
7               	bot_wall	(-8.59767081e-02 5.96405108e-19 0.00000000e+00)	(-8.59767081e-02 5.96405108e-19 0.00000000e+00)
7.5             	top_wall	(-8.61044467e-02 1.99222186e-24 0.00000000e+00)	(-8.61044467e-02 1.99222186e-24 0.00000000e+00)
7.5             	bot_wall	(-8.61045178e-02 -1.45149067e-18 0.00000000e+00)	(-8.61045178e-02 -1.45149067e-18 0.00000000e+00)
8               	top_wall	(-8.62573822e-02 3.74736356e-24 0.00000000e+00)	(-8.62573822e-02 3.74736356e-24 0.00000000e+00)
8               	bot_wall	(-8.62574572e-02 8.67348549e-19 0.00000000e+00)	(-8.62574572e-02 8.67348549e-19 0.00000000e+00)
8.5             	top_wall	(-8.64348286e-02 6.48542711e-24 0.00000000e+00)	(-8.64348286e-02 6.48542711e-24 0.00000000e+00)
8.5             	bot_wall	(-8.64349069e-02 5.78061431e-21 0.00000000e+00)	(-8.64349069e-02 5.78061431e-21 0.00000000e+00)
9               	top_wall	(-8.66382163e-02 1.04877242e-23 0.00000000e+00)	(-8.66382163e-02 1.04877242e-23 0.00000000e+00)
9               	bot_wall	(-8.66382968e-02 6.17696362e-19 0.00000000e+00)	(-8.66382968e-02 6.17696362e-19 0.00000000e+00)
9.5             	top_wall	(-8.68708309e-02 1.60407371e-23 0.00000000e+00)	(-8.68708309e-02 1.60407371e-23 0.00000000e+00)
9.5             	bot_wall	(-8.68709129e-02 9.07628628e-19 0.00000000e+00)	(-8.68709129e-02 9.07628628e-19 0.00000000e+00)
10              	top_wall	(-8.71356185e-02 2.34301795e-23 0.00000000e+00)	(-8.71356185e-02 2.34301795e-23 0.00000000e+00)
10              	bot_wall	(-8.71357011e-02 1.87426626e-18 0.00000000e+00)	(-8.71357011e-02 1.87426626e-18 0.00000000e+00)
10.5            	top_wall	(-8.74316026e-02 3.29096599e-23 0.00000000e+00)	(-8.74316026e-02 3.29096599e-23 0.00000000e+00)
10.5            	bot_wall	(-8.74316847e-02 6.34166943e-19 0.00000000e+00)	(-8.74316847e-02 6.34166943e-19 0.00000000e+00)
11              	top_wall	(-8.77528430e-02 4.47390815e-23 0.00000000e+00)	(-8.77528430e-02 4.47390815e-23 0.00000000e+00)
11              	bot_wall	(-8.77529237e-02 1.08175529e-18 0.00000000e+00)	(-8.77529237e-02 1.08175529e-18 0.00000000e+00)
11.5            	top_wall	(-8.80915048e-02 5.91718016e-23 0.00000000e+00)	(-8.80915048e-02 5.91718016e-23 0.00000000e+00)
