# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-4.31770481e-02 2.71171048e-27 0.00000000e+00)	(-4.31770481e-02 2.71171048e-27 0.00000000e+00)
0.5             	bot_wall	(-4.31772123e-02 2.45669331e-18 0.00000000e+00)	(-4.31772123e-02 2.45669331e-18 0.00000000e+00)
1               	top_wall	(-4.27780257e-02 7.58747130e-27 0.00000000e+00)	(-4.27780257e-02 7.58747130e-27 0.00000000e+00)
1               	bot_wall	(-4.27778435e-02 2.55252068e-18 0.00000000e+00)	(-4.27778435e-02 2.55252068e-18 0.00000000e+00)
1.5             	top_wall	(-4.26059556e-02 1.24754174e-26 0.00000000e+00)	(-4.26059556e-02 1.24754174e-26 0.00000000e+00)
1.5             	bot_wall	(-4.26056926e-02 2.76340127e-18 0.00000000e+00)	(-4.26056926e-02 2.76340127e-18 0.00000000e+00)
2               	top_wall	(-4.24154880e-02 1.94159131e-26 0.00000000e+00)	(-4.24154880e-02 1.94159131e-26 0.00000000e+00)
2               	bot_wall	(-4.24152519e-02 3.20147962e-18 0.00000000e+00)	(-4.24152519e-02 3.20147962e-18 0.00000000e+00)
2.5             	top_wall	(-4.22805267e-02 2.17533291e-26 0.00000000e+00)	(-4.22805267e-02 2.17533291e-26 0.00000000e+00)
2.5             	bot_wall	(-4.22803280e-02 9.67743422e-19 0.00000000e+00)	(-4.22803280e-02 9.67743422e-19 0.00000000e+00)
3               	top_wall	(-4.21920352e-02 2.28832536e-26 0.00000000e+00)	(-4.21920352e-02 2.28832536e-26 0.00000000e+00)
3               	bot_wall	(-4.21918625e-02 1.13290006e-18 0.00000000e+00)	(-4.21918625e-02 1.13290006e-18 0.00000000e+00)
3.5             	top_wall	(-4.21367784e-02 2.08664114e-26 0.00000000e+00)	(-4.21367784e-02 2.08664114e-26 0.00000000e+00)
3.5             	bot_wall	(-4.21366307e-02 1.73195661e-18 0.00000000e+00)	(-4.21366307e-02 1.73195661e-18 0.00000000e+00)
4               	top_wall	(-4.21058195e-02 1.97332533e-26 0.00000000e+00)	(-4.21058195e-02 1.97332533e-26 0.00000000e+00)
4               	bot_wall	(-4.21056999e-02 2.44066091e-18 0.00000000e+00)	(-4.21056999e-02 2.44066091e-18 0.00000000e+00)
4.5             	top_wall	(-4.20933901e-02 1.95227330e-26 0.00000000e+00)	(-4.20933901e-02 1.95227330e-26 0.00000000e+00)
4.5             	bot_wall	(-4.20933001e-02 1.82752162e-18 0.00000000e+00)	(-4.20933001e-02 1.82752162e-18 0.00000000e+00)
5               	top_wall	(-4.20956410e-02 1.56215689e-26 0.00000000e+00)	(-4.20956410e-02 1.56215689e-26 0.00000000e+00)
5               	bot_wall	(-4.20955786e-02 4.06462074e-20 0.00000000e+00)	(-4.20955786e-02 4.06462074e-20 0.00000000e+00)
5.5             	top_wall	(-4.21098525e-02 5.86483252e-27 0.00000000e+00)	(-4.21098525e-02 5.86483252e-27 0.00000000e+00)
5.5             	bot_wall	(-4.21098142e-02 2.32185353e-18 0.00000000e+00)	(-4.21098142e-02 2.32185353e-18 0.00000000e+00)
6               	top_wall	(-4.21340899e-02 -1.21140243e-26 0.00000000e+00)	(-4.21340899e-02 -1.21140243e-26 0.00000000e+00)
6               	bot_wall	(-4.21340712e-02 1.76437695e-18 0.00000000e+00)	(-4.21340712e-02 1.76437695e-18 0.00000000e+00)
6.5             	top_wall	(-4.21669809e-02 -4.69901775e-26 0.00000000e+00)	(-4.21669809e-02 -4.69901775e-26 0.00000000e+00)
6.5             	bot_wall	(-4.21669778e-02 1.11427974e-18 0.00000000e+00)	(-4.21669778e-02 1.11427974e-18 0.00000000e+00)
7               	top_wall	(-4.22071158e-02 -1.03128713e-25 0.00000000e+00)	(-4.22071158e-02 -1.03128713e-25 0.00000000e+00)
7               	bot_wall	(-4.22071248e-02 6.12229394e-19 0.00000000e+00)	(-4.22071248e-02 6.12229394e-19 0.00000000e+00)
7.5             	top_wall	(-4.22518861e-02 -1.77639904e-25 0.00000000e+00)	(-4.22518861e-02 -1.77639904e-25 0.00000000e+00)
7.5             	bot_wall	(-4.22519045e-02 -6.13674279e-19 0.00000000e+00)	(-4.22519045e-02 -6.13674279e-19 0.00000000e+00)
8               	top_wall	(-4.23012064e-02 -2.50803330e-25 0.00000000e+00)	(-4.23012064e-02 -2.50803330e-25 0.00000000e+00)
8               	bot_wall	(-4.23012323e-02 5.74534015e-19 0.00000000e+00)	(-4.23012323e-02 5.74534015e-19 0.00000000e+00)
8.5             	top_wall	(-4.23550853e-02 -2.91686170e-25 0.00000000e+00)	(-4.23550853e-02 -2.91686170e-25 0.00000000e+00)
8.5             	bot_wall	(-4.23551174e-02 3.86937625e-19 0.00000000e+00)	(-4.23551174e-02 3.86937625e-19 0.00000000e+00)
9               	top_wall	(-4.24134005e-02 -2.51917487e-25 0.00000000e+00)	(-4.24134005e-02 -2.51917487e-25 0.00000000e+00)
9               	bot_wall	(-4.24134378e-02 2.44663955e-18 0.00000000e+00)	(-4.24134378e-02 2.44663955e-18 0.00000000e+00)
9.5             	top_wall	(-4.24761414e-02 -6.55231490e-26 0.00000000e+00)	(-4.24761414e-02 -6.55231490e-26 0.00000000e+00)
9.5             	bot_wall	(-4.24761831e-02 1.24537087e-18 0.00000000e+00)	(-4.24761831e-02 1.24537087e-18 0.00000000e+00)
10              	top_wall	(-4.25433436e-02 3.44498896e-25 0.00000000e+00)	(-4.25433436e-02 3.44498896e-25 0.00000000e+00)
10              	bot_wall	(-4.25433890e-02 1.67088554e-18 0.00000000e+00)	(-4.25433890e-02 1.67088554e-18 0.00000000e+00)
10.5            	top_wall	(-4.26154751e-02 1.06968348e-24 0.00000000e+00)	(-4.26154751e-02 1.06968348e-24 0.00000000e+00)
10.5            	bot_wall	(-4.26155236e-02 1.54756312e-18 0.00000000e+00)	(-4.26155236e-02 1.54756312e-18 0.00000000e+00)
11              	top_wall	(-4.26930182e-02 2.19971292e-24 0.00000000e+00)	(-4.26930182e-02 2.19971292e-24 0.00000000e+00)
11              	bot_wall	(-4.26930694e-02 2.98276333e-18 0.00000000e+00)	(-4.26930694e-02 2.98276333e-18 0.00000000e+00)
11.5            	top_wall	(-4.27768497e-02 3.82351121e-24 0.00000000e+00)	(-4.27768497e-02 3.82351121e-24 0.00000000e+00)
11.5            	bot_wall	(-4.27769032e-02 1.87500416e-18 0.00000000e+00)	(-4.27769032e-02 1.87500416e-18 0.00000000e+00)
12              	top_wall	(-4.28675297e-02 6.02542631e-24 0.00000000e+00)	(-4.28675297e-02 6.02542631e-24 0.00000000e+00)
12              	bot_wall	(-4.28675850e-02 2.71392368e-18 0.00000000e+00)	(-4.28675850e-02 2.71392368e-18 0.00000000e+00)
12.5            	top_wall	(-4.29651149e-02 8.87920521e-24 0.00000000e+00)	(-4.29651149e-02 8.87920521e-24 0.00000000e+00)
12.5            	bot_wall	(-4.29651719e-02 1.25352652e-18 0.00000000e+00)	(-4.29651719e-02 1.25352652e-18 0.00000000e+00)
13              	top_wall	(-4.30693552e-02 1.24416221e-23 0.00000000e+00)	(-4.30693552e-02 1.24416221e-23 0.00000000e+00)
13              	bot_wall	(-4.30694134e-02 3.46594630e-18 0.00000000e+00)	(-4.30694134e-02 3.46594630e-18 0.00000000e+00)
13.5            	top_wall	(-4.31792813e-02 1.67826380e-23 0.00000000e+00)	(-4.31792813e-02 1.67826380e-23 0.00000000e+00)
13.5            	bot_wall	(-4.31793407e-02 2.54633615e-18 0.00000000e+00)	(-4.31793407e-02 2.54633615e-18 0.00000000e+00)
14              	top_wall	(-4.32937239e-02 2.19109584e-23 0.00000000e+00)	(-4.32937239e-02 2.19109584e-23 0.00000000e+00)
14              	bot_wall	(-4.32937841e-02 1.40260280e-18 0.00000000e+00)	(-4.32937841e-02 1.40260280e-18 0.00000000e+00)
14.5            	top_wall	(-4.34115674e-02 2.78548224e-23 0.00000000e+00)	(-4.34115674e-02 2.78548224e-23 0.00000000e+00)
14.5            	bot_wall	(-4.34116282e-02 9.95689868e-19 0.00000000e+00)	(-4.34116282e-02 9.95689868e-19 0.00000000e+00)
15              	top_wall	(-4.35318444e-02 3.46133790e-23 0.00000000e+00)	(-4.35318444e-02 3.46133790e-23 0.00000000e+00)
15              	bot_wall	(-4.35319055e-02 2.91829606e-18 0.00000000e+00)	(-4.35319055e-02 2.91829606e-18 0.00000000e+00)
15.5            	top_wall	(-4.36537770e-02 4.21818655e-23 0.00000000e+00)	(-4.36537770e-02 4.21818655e-23 0.00000000e+00)
15.5            	bot_wall	(-4.36538378e-02 9.42877470e-19 0.00000000e+00)	(-4.36538378e-02 9.42877470e-19 0.00000000e+00)
16              	top_wall	(-4.37766681e-02 5.05180909e-23 0.00000000e+00)	(-4.37766681e-02 5.05180909e-23 0.00000000e+00)
16              	bot_wall	(-4.37767286e-02 1.57293776e-18 0.00000000e+00)	(-4.37767286e-02 1.57293776e-18 0.00000000e+00)
16.5            	top_wall	(-4.39000488e-02 5.95882440e-23 0.00000000e+00)	(-4.39000488e-02 5.95882440e-23 0.00000000e+00)
16.5            	bot_wall	(-4.39001088e-02 3.23649203e-19 0.00000000e+00)	(-4.39001088e-02 3.23649203e-19 0.00000000e+00)
17              	top_wall	(-4.40235824e-02 6.93489037e-23 0.00000000e+00)	(-4.40235824e-02 6.93489037e-23 0.00000000e+00)
17              	bot_wall	(-4.40236417e-02 8.58992040e-19 0.00000000e+00)	(-4.40236417e-02 8.58992040e-19 0.00000000e+00)
17.5            	top_wall	(-4.41469690e-02 7.97702054e-23 0.00000000e+00)	(-4.41469690e-02 7.97702054e-23 0.00000000e+00)
17.5            	bot_wall	(-4.41470273e-02 1.48465467e-18 0.00000000e+00)	(-4.41470273e-02 1.48465467e-18 0.00000000e+00)
18              	top_wall	(-4.42699234e-02 9.08126042e-23 0.00000000e+00)	(-4.42699234e-02 9.08126042e-23 0.00000000e+00)
18              	bot_wall	(-4.42699805e-02 1.34735434e-18 0.00000000e+00)	(-4.42699805e-02 1.34735434e-18 0.00000000e+00)
18.5            	top_wall	(-4.43922526e-02 1.02462843e-22 0.00000000e+00)	(-4.43922526e-02 1.02462843e-22 0.00000000e+00)
18.5            	bot_wall	(-4.43923085e-02 2.73778810e-18 0.00000000e+00)	(-4.43923085e-02 2.73778810e-18 0.00000000e+00)
19              	top_wall	(-4.45137628e-02 1.14717004e-22 0.00000000e+00)	(-4.45137628e-02 1.14717004e-22 0.00000000e+00)
19              	bot_wall	(-4.45138173e-02 6.01058672e-19 0.00000000e+00)	(-4.45138173e-02 6.01058672e-19 0.00000000e+00)
19.5            	top_wall	(-4.46342738e-02 1.27601966e-22 0.00000000e+00)	(-4.46342738e-02 1.27601966e-22 0.00000000e+00)
19.5            	bot_wall	(-4.46343268e-02 1.24096283e-18 0.00000000e+00)	(-4.46343268e-02 1.24096283e-18 0.00000000e+00)
20              	top_wall	(-4.47536044e-02 1.41164291e-22 0.00000000e+00)	(-4.47536044e-02 1.41164291e-22 0.00000000e+00)
20              	bot_wall	(-4.47536558e-02 1.89875583e-18 0.00000000e+00)	(-4.47536558e-02 1.89875583e-18 0.00000000e+00)
20.5            	top_wall	(-4.48715891e-02 1.55468602e-22 0.00000000e+00)	(-4.48715891e-02 1.55468602e-22 0.00000000e+00)
20.5            	bot_wall	(-4.48716392e-02 3.40835359e-19 0.00000000e+00)	(-4.48716392e-02 3.40835359e-19 0.00000000e+00)
21              	top_wall	(-4.49881079e-02 1.70618595e-22 0.00000000e+00)	(-4.49881079e-02 1.70618595e-22 0.00000000e+00)
21              	bot_wall	(-4.49881563e-02 1.32171954e-18 0.00000000e+00)	(-4.49881563e-02 1.32171954e-18 0.00000000e+00)
21.5            	top_wall	(-4.51029759e-02 1.86755792e-22 0.00000000e+00)	(-4.51029759e-02 1.86755792e-22 0.00000000e+00)
21.5            	bot_wall	(-4.51030227e-02 3.04602012e-19 0.00000000e+00)	(-4.51030227e-02 3.04602012e-19 0.00000000e+00)
22              	top_wall	(-4.52160173e-02 2.04057216e-22 0.00000000e+00)	(-4.52160173e-02 2.04057216e-22 0.00000000e+00)
22              	bot_wall	(-4.52160624e-02 -6.89767106e-20 0.00000000e+00)	(-4.52160624e-02 -6.89767106e-20 0.00000000e+00)
22.5            	top_wall	(-4.53270620e-02 2.22734867e-22 0.00000000e+00)	(-4.53270620e-02 2.22734867e-22 0.00000000e+00)
22.5            	bot_wall	(-4.53271057e-02 6.47309252e-19 0.00000000e+00)	(-4.53271057e-02 6.47309252e-19 0.00000000e+00)
