# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-5.60901820e-02 -9.03753825e-28 0.00000000e+00)	(-5.60901820e-02 -9.03753825e-28 0.00000000e+00)
0.5             	bot_wall	(-5.60901908e-02 1.50009711e-18 0.00000000e+00)	(-5.60901908e-02 1.50009711e-18 0.00000000e+00)
1               	top_wall	(-5.35226676e-02 2.58040358e-27 0.00000000e+00)	(-5.35226676e-02 2.58040358e-27 0.00000000e+00)
1               	bot_wall	(-5.35226168e-02 1.70497810e-18 0.00000000e+00)	(-5.35226168e-02 1.70497810e-18 0.00000000e+00)
1.5             	top_wall	(-5.14629547e-02 6.60319965e-27 0.00000000e+00)	(-5.14629547e-02 6.60319965e-27 0.00000000e+00)
1.5             	bot_wall	(-5.14628976e-02 -1.02995564e-19 0.00000000e+00)	(-5.14628976e-02 -1.02995564e-19 0.00000000e+00)
2               	top_wall	(-5.00242675e-02 1.03209548e-26 0.00000000e+00)	(-5.00242675e-02 1.03209548e-26 0.00000000e+00)
2               	bot_wall	(-5.00242190e-02 -1.87680655e-18 0.00000000e+00)	(-5.00242190e-02 -1.87680655e-18 0.00000000e+00)
2.5             	top_wall	(-4.89735787e-02 1.38248775e-26 0.00000000e+00)	(-4.89735787e-02 1.38248775e-26 0.00000000e+00)
2.5             	bot_wall	(-4.89735399e-02 -1.02189102e-18 0.00000000e+00)	(-4.89735399e-02 -1.02189102e-18 0.00000000e+00)
3               	top_wall	(-4.81750887e-02 1.55966461e-26 0.00000000e+00)	(-4.81750887e-02 1.55966461e-26 0.00000000e+00)
3               	bot_wall	(-4.81750578e-02 -1.60424175e-18 0.00000000e+00)	(-4.81750578e-02 -1.60424175e-18 0.00000000e+00)
3.5             	top_wall	(-4.75501649e-02 1.86826469e-26 0.00000000e+00)	(-4.75501649e-02 1.86826469e-26 0.00000000e+00)
3.5             	bot_wall	(-4.75501405e-02 -1.95440586e-19 0.00000000e+00)	(-4.75501405e-02 -1.95440586e-19 0.00000000e+00)
4               	top_wall	(-4.70510519e-02 1.76224590e-26 0.00000000e+00)	(-4.70510519e-02 1.76224590e-26 0.00000000e+00)
4               	bot_wall	(-4.70510332e-02 1.01181044e-18 0.00000000e+00)	(-4.70510332e-02 1.01181044e-18 0.00000000e+00)
4.5             	top_wall	(-4.66471117e-02 2.05132610e-26 0.00000000e+00)	(-4.66471117e-02 2.05132610e-26 0.00000000e+00)
4.5             	bot_wall	(-4.66470983e-02 -1.42252613e-18 0.00000000e+00)	(-4.66470983e-02 -1.42252613e-18 0.00000000e+00)
5               	top_wall	(-4.63179145e-02 2.37694214e-26 0.00000000e+00)	(-4.63179145e-02 2.37694214e-26 0.00000000e+00)
5               	bot_wall	(-4.63179061e-02 -2.63876673e-18 0.00000000e+00)	(-4.63179061e-02 -2.63876673e-18 0.00000000e+00)
5.5             	top_wall	(-4.60494522e-02 4.06355649e-26 0.00000000e+00)	(-4.60494522e-02 4.06355649e-26 0.00000000e+00)
5.5             	bot_wall	(-4.60494479e-02 -1.27267405e-18 0.00000000e+00)	(-4.60494479e-02 -1.27267405e-18 0.00000000e+00)
6               	top_wall	(-4.58314834e-02 7.74187470e-26 0.00000000e+00)	(-4.58314834e-02 7.74187470e-26 0.00000000e+00)
