# y_plus, uu_plus, vv_plus, minus_uv_plus
7.67835803e-01, 9.66011796e-01, 9.66011796e-01, 1.47484990e-01
2.30350741e+00, 1.00050717e+00, 1.00050717e+00, 2.98235292e-01
3.83917902e+00, 1.20718258e+00, 1.20718258e+00, 4.91435608e-01
5.37485062e+00, 1.37565937e+00, 1.37565937e+00, 6.17589157e-01
6.91052223e+00, 1.49740026e+00, 1.49740026e+00, 6.92771522e-01
8.44619383e+00, 1.58673770e+00, 1.58673770e+00, 7.41199279e-01
9.98186544e+00, 1.65433619e+00, 1.65433619e+00, 7.74650146e-01
1.15175370e+01, 1.70691672e+00, 1.70691672e+00, 7.98939538e-01
1.30532087e+01, 1.74875500e+00, 1.74875500e+00, 8.17225353e-01
1.45888803e+01, 1.78265672e+00, 1.78265672e+00, 8.31438016e-01
1.61245519e+01, 1.81053005e+00, 1.81053005e+00, 8.42717094e-01
1.76602235e+01, 1.83370365e+00, 1.83370365e+00, 8.51716992e-01
1.91958951e+01, 1.85316693e+00, 1.85316693e+00, 8.59105132e-01
2.07315667e+01, 1.86962661e+00, 1.86962661e+00, 8.65257905e-01
2.22672383e+01, 1.88363395e+00, 1.88363395e+00, 8.70183637e-01
2.38029099e+01, 1.89560592e+00, 1.89560592e+00, 8.74298782e-01
2.53385815e+01, 1.90586760e+00, 1.90586760e+00, 8.77879262e-01
2.68742531e+01, 1.91469463e+00, 1.91469463e+00, 8.80804815e-01
2.84099247e+01, 1.92228489e+00, 1.92228489e+00, 8.83171809e-01
2.99455963e+01, 1.92881505e+00, 1.92881505e+00, 8.85192366e-01
3.14812679e+01, 1.93443353e+00, 1.93443353e+00, 8.86904900e-01
3.30169395e+01, 1.93924635e+00, 1.93924635e+00, 8.88210974e-01
3.45526111e+01, 1.94335950e+00, 1.94335950e+00, 8.89392392e-01
3.60882827e+01, 1.94685780e+00, 1.94685780e+00, 8.90253311e-01
3.76239544e+01, 1.94980486e+00, 1.94980486e+00, 8.90919772e-01
3.91596260e+01, 1.95227134e+00, 1.95227134e+00, 8.91462505e-01
4.06952976e+01, 1.95429965e+00, 1.95429965e+00, 8.91738641e-01
4.22309692e+01, 1.95594632e+00, 1.95594632e+00, 8.92031703e-01
4.37666408e+01, 1.95723963e+00, 1.95723963e+00, 8.92107517e-01
4.53023124e+01, 1.95821492e+00, 1.95821492e+00, 8.92015906e-01
4.68379840e+01, 1.95890751e+00, 1.95890751e+00, 8.91954718e-01
4.83736556e+01, 1.95934568e+00, 1.95934568e+00, 8.91754035e-01
4.99093272e+01, 1.95954356e+00, 1.95954356e+00, 8.91388081e-01
5.14449988e+01, 1.95952943e+00, 1.95952943e+00, 8.91193297e-01
5.29806704e+01, 1.95932448e+00, 1.95932448e+00, 8.90730565e-01
5.45163420e+01, 1.95893578e+00, 1.95893578e+00, 8.90107497e-01
5.60520136e+01, 1.95838453e+00, 1.95838453e+00, 8.89637001e-01
5.75876852e+01, 1.95768487e+00, 1.95768487e+00, 8.89017045e-01
5.91233568e+01, 1.95684386e+00, 1.95684386e+00, 8.88547929e-01
6.06590285e+01, 1.95587565e+00, 1.95587565e+00, 8.87887504e-01
6.21947001e+01, 1.95479435e+00, 1.95479435e+00, 8.86877477e-01
6.37303717e+01, 1.95359999e+00, 1.95359999e+00, 8.86270013e-01
6.52660433e+01, 1.95230667e+00, 1.95230667e+00, 8.85689812e-01
6.68017149e+01, 1.95092149e+00, 1.95092149e+00, 8.84715819e-01
6.83373865e+01, 1.94944443e+00, 1.94944443e+00, 8.83882360e-01
6.98730581e+01, 1.94789669e+00, 1.94789669e+00, 8.83000740e-01
7.14087297e+01, 1.94626415e+00, 1.94626415e+00, 8.82122035e-01
7.29444013e+01, 1.94456801e+00, 1.94456801e+00, 8.81296606e-01
7.44800729e+01, 1.94280119e+00, 1.94280119e+00, 8.80307349e-01
7.60157445e+01, 1.94098490e+00, 1.94098490e+00, 8.79457370e-01
7.75514161e+01, 1.93910500e+00, 1.93910500e+00, 8.78245090e-01
7.90870877e+01, 1.93716857e+00, 1.93716857e+00, 8.77250361e-01
8.06227593e+01, 1.93518973e+00, 1.93518973e+00, 8.76520598e-01
8.21584309e+01, 1.93316142e+00, 1.93316142e+00, 8.75520506e-01
8.36941025e+01, 1.93109071e+00, 1.93109071e+00, 8.74566731e-01
8.52297742e+01, 1.92898466e+00, 1.92898466e+00, 8.73388758e-01
8.67654458e+01, 1.92683621e+00, 1.92683621e+00, 8.72309835e-01
8.83011174e+01, 1.92465242e+00, 1.92465242e+00, 8.71358728e-01
8.98367890e+01, 1.92243330e+00, 1.92243330e+00, 8.70257033e-01
9.13724606e+01, 1.92018591e+00, 1.92018591e+00, 8.69335565e-01
9.29081322e+01, 1.91790317e+00, 1.91790317e+00, 8.68305153e-01
9.44438038e+01, 1.91559924e+00, 1.91559924e+00, 8.67183404e-01
9.59794754e+01, 1.91326704e+00, 1.91326704e+00, 8.65984881e-01
