# y_plus, uu_plus, vv_plus, minus_uv_plus
7.66388272e-01, 9.38039348e-01, 9.38039348e-01, 1.56023252e-01
2.29916482e+00, 9.23056824e-01, 9.23056824e-01, 2.82843884e-01
3.83194136e+00, 1.12414329e+00, 1.12414329e+00, 4.68622065e-01
5.36471790e+00, 1.30507571e+00, 1.30507571e+00, 6.02842940e-01
6.89749445e+00, 1.43861313e+00, 1.43861313e+00, 6.84654461e-01
8.43027099e+00, 1.53643936e+00, 1.53643936e+00, 7.37039251e-01
9.96304753e+00, 1.60983386e+00, 1.60983386e+00, 7.72912640e-01
1.14958241e+01, 1.66634465e+00, 1.66634465e+00, 7.98746555e-01
1.30286006e+01, 1.71085239e+00, 1.71085239e+00, 8.18129947e-01
1.45613772e+01, 1.74654939e+00, 1.74654939e+00, 8.33044229e-01
1.60941537e+01, 1.77562059e+00, 1.77562059e+00, 8.44732114e-01
1.76269303e+01, 1.79959121e+00, 1.79959121e+00, 8.54176233e-01
1.91597068e+01, 1.81953953e+00, 1.81953953e+00, 8.61853627e-01
2.06924833e+01, 1.83627427e+00, 1.83627427e+00, 8.68033912e-01
2.22252599e+01, 1.85039842e+00, 1.85039842e+00, 8.73207133e-01
2.37580364e+01, 1.86238019e+00, 1.86238019e+00, 8.77506289e-01
2.52908130e+01, 1.87257426e+00, 1.87257426e+00, 8.80989727e-01
2.68235895e+01, 1.88126441e+00, 1.88126441e+00, 8.84004034e-01
2.83563661e+01, 1.88867764e+00, 1.88867764e+00, 8.86505808e-01
2.98891426e+01, 1.89500548e+00, 1.89500548e+00, 8.88513997e-01
3.14219191e+01, 1.90038983e+00, 1.90038983e+00, 8.90225430e-01
3.29546957e+01, 1.90495836e+00, 1.90495836e+00, 8.91554057e-01
3.44874722e+01, 1.90882459e+00, 1.90882459e+00, 8.92541155e-01
3.60202488e+01, 1.91205945e+00, 1.91205945e+00, 8.93417591e-01
3.75530253e+01, 1.91474808e+00, 1.91474808e+00, 8.94195559e-01
3.90858019e+01, 1.91695431e+00, 1.91695431e+00, 8.94660469e-01
4.06185784e+01, 1.91872072e+00, 1.91872072e+00, 8.94977000e-01
4.21513549e+01, 1.92011114e+00, 1.92011114e+00, 8.95123642e-01
4.36841315e+01, 1.92114687e+00, 1.92114687e+00, 8.95191742e-01
4.52169080e+01, 1.92187755e+00, 1.92187755e+00, 8.95073045e-01
4.67496846e+01, 1.92232447e+00, 1.92232447e+00, 8.94791403e-01
4.82824611e+01, 1.92252310e+00, 1.92252310e+00, 8.94732311e-01
4.98152377e+01, 1.92248763e+00, 1.92248763e+00, 8.94506484e-01
5.13480142e+01, 1.92224643e+00, 1.92224643e+00, 8.94062238e-01
5.28807908e+01, 1.92181370e+00, 1.92181370e+00, 8.93532691e-01
5.44135673e+01, 1.92121071e+00, 1.92121071e+00, 8.93053502e-01
5.59463438e+01, 1.92044456e+00, 1.92044456e+00, 8.92307670e-01
5.74791204e+01, 1.91953653e+00, 1.91953653e+00, 8.91620049e-01
5.90118969e+01, 1.91850080e+00, 1.91850080e+00, 8.91100483e-01
6.05446735e+01, 1.91733739e+00, 1.91733739e+00, 8.90383697e-01
6.20774500e+01, 1.91606047e+00, 1.91606047e+00, 8.89547034e-01
6.36102266e+01, 1.91467714e+00, 1.91467714e+00, 8.88907163e-01
6.51430031e+01, 1.91320159e+00, 1.91320159e+00, 8.88053881e-01
6.66757796e+01, 1.91164091e+00, 1.91164091e+00, 8.87038270e-01
6.82085562e+01, 1.90999510e+00, 1.90999510e+00, 8.86181907e-01
6.97413327e+01, 1.90827126e+00, 1.90827126e+00, 8.85286603e-01
7.12741093e+01, 1.90648357e+00, 1.90648357e+00, 8.84405070e-01
7.28068858e+01, 1.90462494e+00, 1.90462494e+00, 8.83591114e-01
7.43396624e+01, 1.90270247e+00, 1.90270247e+00, 8.82615824e-01
7.58724389e+01, 1.90073034e+00, 1.90073034e+00, 8.81226445e-01
7.74052154e+01, 1.89870146e+00, 1.89870146e+00, 8.80322571e-01
7.89379920e+01, 1.89662291e+00, 1.89662291e+00, 8.79376671e-01
8.04707685e+01, 1.89450181e+00, 1.89450181e+00, 8.78420050e-01
8.20035451e+01, 1.89233814e+00, 1.89233814e+00, 8.77491458e-01
8.35363216e+01, 1.89013191e+00, 1.89013191e+00, 8.75998866e-01
8.50690982e+01, 1.88788311e+00, 1.88788311e+00, 8.75215685e-01
8.66018747e+01, 1.88560594e+00, 1.88560594e+00, 8.74237957e-01
8.81346513e+01, 1.88329329e+00, 1.88329329e+00, 8.72761379e-01
8.96674278e+01, 1.88095227e+00, 1.88095227e+00, 8.71780613e-01
9.12002043e+01, 1.87858288e+00, 1.87858288e+00, 8.70671800e-01
9.27329809e+01, 1.87618511e+00, 1.87618511e+00, 8.69792037e-01
9.42657574e+01, 1.87375896e+00, 1.87375896e+00, 8.68485686e-01
9.57985340e+01, 1.87131153e+00, 1.87131153e+00, 8.67104796e-01
9.73313105e+01, 1.86884282e+00, 1.86884282e+00, 8.66372747e-01
9.88640871e+01, 1.86635283e+00, 1.86635283e+00, 8.65261590e-01
1.00396864e+02, 1.86384155e+00, 1.86384155e+00, 8.63773042e-01
1.01929640e+02, 1.86130899e+00, 1.86130899e+00, 8.62645873e-01
1.03462417e+02, 1.85876225e+00, 1.85876225e+00, 8.61537253e-01
1.04995193e+02, 1.85619422e+00, 1.85619422e+00, 8.60463153e-01
1.06527970e+02, 1.85361910e+00, 1.85361910e+00, 8.59441778e-01
1.08060746e+02, 1.85102270e+00, 1.85102270e+00, 8.57718063e-01
