# y_plus, uu_plus, vv_plus, minus_uv_plus
7.70582130e-01, 1.19913351e-02, 1.19913351e-02, 1.33379122e-04
2.31174639e+00, 1.26493183e-02, 1.26493183e-02, 8.06654444e-04
3.85291065e+00, 7.49309335e-02, 7.49309335e-02, 1.30951526e-02
5.39407491e+00, 2.43935852e-01, 2.43935852e-01, 7.46457485e-02
6.93523917e+00, 5.05332083e-01, 5.05332083e-01, 2.02447447e-01
8.47640343e+00, 7.77566756e-01, 7.77566756e-01, 3.47440396e-01
1.00175677e+01, 1.00767493e+00, 1.00767493e+00, 4.68573584e-01
1.15587320e+01, 1.18802562e+00, 1.18802562e+00, 5.52435690e-01
1.30998962e+01, 1.32828123e+00, 1.32828123e+00, 6.17642583e-01
1.46410605e+01, 1.43719895e+00, 1.43719895e+00, 6.68310908e-01
1.61822247e+01, 1.52230803e+00, 1.52230803e+00, 7.07889491e-01
1.77233890e+01, 1.58948870e+00, 1.58948870e+00, 7.39133140e-01
1.92645533e+01, 1.64315464e+00, 1.64315464e+00, 7.64071443e-01
2.08057175e+01, 1.68654069e+00, 1.68654069e+00, 7.84220864e-01
2.23468818e+01, 1.72204667e+00, 1.72204667e+00, 8.00775425e-01
2.38880460e+01, 1.75143382e+00, 1.75143382e+00, 8.14444241e-01
2.54292103e+01, 1.77604241e+00, 1.77604241e+00, 8.25409177e-01
2.69703746e+01, 1.79684077e+00, 1.79684077e+00, 8.33958576e-01
2.85115388e+01, 1.81456569e+00, 1.81456569e+00, 8.41498147e-01
3.00527031e+01, 1.82973642e+00, 1.82973642e+00, 8.47803584e-01
3.15938673e+01, 1.84276697e+00, 1.84276697e+00, 8.53272633e-01
3.31350316e+01, 1.85398714e+00, 1.85398714e+00, 8.57913671e-01
3.46761959e+01, 1.86367760e+00, 1.86367760e+00, 8.61836485e-01
3.62173601e+01, 1.87205589e+00, 1.87205589e+00, 8.65297505e-01
3.77585244e+01, 1.87929742e+00, 1.87929742e+00, 8.68179211e-01
3.92996886e+01, 1.88555658e+00, 1.88555658e+00, 8.70691056e-01
4.08408529e+01, 1.89096668e+00, 1.89096668e+00, 8.72831395e-01
4.23820172e+01, 1.89561894e+00, 1.89561894e+00, 8.74591867e-01
4.39231814e+01, 1.89961863e+00, 1.89961863e+00, 8.76093431e-01
4.54643457e+01, 1.90303590e+00, 1.90303590e+00, 8.77407887e-01
4.70055099e+01, 1.90593392e+00, 1.90593392e+00, 8.78537593e-01
4.85466742e+01, 1.90837583e+00, 1.90837583e+00, 8.79278544e-01
5.00878385e+01, 1.91040374e+00, 1.91040374e+00, 8.79922033e-01
5.16290027e+01, 1.91206677e+00, 1.91206677e+00, 8.80617008e-01
5.31701670e+01, 1.91340702e+00, 1.91340702e+00, 8.81012055e-01
5.47113312e+01, 1.91444553e+00, 1.91444553e+00, 8.81322347e-01
5.62524955e+01, 1.91521038e+00, 1.91521038e+00, 8.81594483e-01
5.77936598e+01, 1.91574367e+00, 1.91574367e+00, 8.81506235e-01
5.93348240e+01, 1.91605242e+00, 1.91605242e+00, 8.81382731e-01
6.08759883e+01, 1.91616469e+00, 1.91616469e+00, 8.81388798e-01
6.24171525e+01, 1.91609452e+00, 1.91609452e+00, 8.81314823e-01
6.39583168e+01, 1.91585595e+00, 1.91585595e+00, 8.81095080e-01
6.54994811e+01, 1.91547001e+00, 1.91547001e+00, 8.80847079e-01
6.70406453e+01, 1.91494374e+00, 1.91494374e+00, 8.80272668e-01
6.85818096e+01, 1.91429116e+00, 1.91429116e+00, 8.79877818e-01
7.01229738e+01, 1.91352630e+00, 1.91352630e+00, 8.79564851e-01
7.16641381e+01, 1.91265620e+00, 1.91265620e+00, 8.78984941e-01
7.32053024e+01, 1.91168084e+00, 1.91168084e+00, 8.78434294e-01
7.47464666e+01, 1.91062127e+00, 1.91062127e+00, 8.77991901e-01
7.62876309e+01, 1.90947750e+00, 1.90947750e+00, 8.77269397e-01
7.78287951e+01, 1.90826356e+00, 1.90826356e+00, 8.76559600e-01
7.93699594e+01, 1.90697244e+00, 1.90697244e+00, 8.75924996e-01
8.09111237e+01, 1.90561816e+00, 1.90561816e+00, 8.75179691e-01
8.24522879e+01, 1.90420774e+00, 1.90420774e+00, 8.74630988e-01
8.39934522e+01, 1.90273417e+00, 1.90273417e+00, 8.73818119e-01
8.55346165e+01, 1.90121850e+00, 1.90121850e+00, 8.73042717e-01
8.70757807e+01, 1.89964670e+00, 1.89964670e+00, 8.72354141e-01
8.86169450e+01, 1.89803981e+00, 1.89803981e+00, 8.71522540e-01
9.01581092e+01, 1.89638380e+00, 1.89638380e+00, 8.70863873e-01
9.16992735e+01, 1.89469972e+00, 1.89469972e+00, 8.69852238e-01
9.32404378e+01, 1.89297354e+00, 1.89297354e+00, 8.69088680e-01
9.47816020e+01, 1.89121929e+00, 1.89121929e+00, 8.68324061e-01
9.63227663e+01, 1.88943698e+00, 1.88943698e+00, 8.67287704e-01
9.78639305e+01, 1.88761958e+00, 1.88761958e+00, 8.66612805e-01
9.94050948e+01, 1.88578814e+00, 1.88578814e+00, 8.65408201e-01
1.00946259e+02, 1.88392162e+00, 1.88392162e+00, 8.64628228e-01
1.02487423e+02, 1.88204107e+00, 1.88204107e+00, 8.63997959e-01
1.04028588e+02, 1.88013946e+00, 1.88013946e+00, 8.62893834e-01
1.05569752e+02, 1.87821681e+00, 1.87821681e+00, 8.61982118e-01
1.07110916e+02, 1.87627310e+00, 1.87627310e+00, 8.60958397e-01
1.08652080e+02, 1.87432238e+00, 1.87432238e+00, 8.60178755e-01
1.10193245e+02, 1.87235060e+00, 1.87235060e+00, 8.59328919e-01
1.11734409e+02, 1.87037181e+00, 1.87037181e+00, 8.58424213e-01
1.13275573e+02, 1.86837197e+00, 1.86837197e+00, 8.57482448e-01
1.14816737e+02, 1.86636511e+00, 1.86636511e+00, 8.56517463e-01
1.16357902e+02, 1.86434422e+00, 1.86434422e+00, 8.55548053e-01
1.17899066e+02, 1.86231631e+00, 1.86231631e+00, 8.54587857e-01
1.19440230e+02, 1.86028138e+00, 1.86028138e+00, 8.53654126e-01
1.20981394e+02, 1.85823944e+00, 1.85823944e+00, 8.52760342e-01
1.22522559e+02, 1.85618346e+00, 1.85618346e+00, 8.51923493e-01
1.24063723e+02, 1.85412046e+00, 1.85412046e+00, 8.50772492e-01
1.25604887e+02, 1.85205747e+00, 1.85205747e+00, 8.50090625e-01
1.27146051e+02, 1.84998746e+00, 1.84998746e+00, 8.49115409e-01
1.28687216e+02, 1.84790341e+00, 1.84790341e+00, 8.47848763e-01
1.30228380e+02, 1.84582638e+00, 1.84582638e+00, 8.47100579e-01
1.31769544e+02, 1.84373532e+00, 1.84373532e+00, 8.46082413e-01
1.33310709e+02, 1.84164425e+00, 1.84164425e+00, 8.45208271e-01
1.34851873e+02, 1.83955319e+00, 1.83955319e+00, 8.44493011e-01
1.36393037e+02, 1.83745511e+00, 1.83745511e+00, 8.43528318e-01
1.37934201e+02, 1.83535703e+00, 1.83535703e+00, 8.42316940e-01
1.39475366e+02, 1.83325193e+00, 1.83325193e+00, 8.41290066e-01
1.41016530e+02, 1.83114684e+00, 1.83114684e+00, 8.40896948e-01
1.42557694e+02, 1.82903472e+00, 1.82903472e+00, 8.39847500e-01
1.44098858e+02, 1.82692962e+00, 1.82692962e+00, 8.38572833e-01
1.45640023e+02, 1.82481751e+00, 1.82481751e+00, 8.37522918e-01
