# y_plus, uu_plus, vv_plus, minus_uv_plus
7.69370502e-01, 1.18427379e-02, 1.18427379e-02, 1.31292731e-04
2.30811151e+00, 1.08562772e-02, 1.08562772e-02, 6.78885911e-04
3.84685251e+00, 6.38709753e-02, 6.38709753e-02, 1.09245658e-02
5.38559351e+00, 2.13420860e-01, 2.13420860e-01, 6.45196291e-02
6.92433452e+00, 4.59981846e-01, 4.59981846e-01, 1.84284945e-01
8.46307552e+00, 7.35073045e-01, 7.35073045e-01, 3.30840545e-01
1.00018165e+01, 9.78006778e-01, 9.78006778e-01, 4.57887162e-01
1.15405575e+01, 1.17154004e+00, 1.17154004e+00, 5.53922225e-01
1.30792985e+01, 1.32078323e+00, 1.32078323e+00, 6.24359083e-01
1.46180395e+01, 1.43564742e+00, 1.43564742e+00, 6.76509218e-01
1.61567805e+01, 1.52492444e+00, 1.52492444e+00, 7.15874237e-01
1.76955215e+01, 1.59523810e+00, 1.59523810e+00, 7.46164126e-01
1.92342626e+01, 1.65137499e+00, 1.65137499e+00, 7.69989708e-01
2.07730036e+01, 1.69677725e+00, 1.69677725e+00, 7.89046645e-01
2.23117446e+01, 1.73391559e+00, 1.73391559e+00, 8.04388406e-01
2.38504856e+01, 1.76459202e+00, 1.76459202e+00, 8.17006237e-01
2.53892266e+01, 1.79013695e+00, 1.79013695e+00, 8.27428290e-01
2.69279676e+01, 1.81157104e+00, 1.81157104e+00, 8.36102934e-01
2.84667086e+01, 1.82964747e+00, 1.82964747e+00, 8.43391223e-01
3.00054496e+01, 1.84497161e+00, 1.84497161e+00, 8.49538404e-01
3.15441906e+01, 1.85800100e+00, 1.85800100e+00, 8.54753158e-01
3.30829316e+01, 1.86911575e+00, 1.86911575e+00, 8.59122933e-01
3.46216726e+01, 1.87859743e+00, 1.87859743e+00, 8.62951385e-01
3.61604136e+01, 1.88669241e+00, 1.88669241e+00, 8.66128979e-01
3.76991546e+01, 1.89359778e+00, 1.89359778e+00, 8.68703418e-01
3.92378956e+01, 1.89947543e+00, 1.89947543e+00, 8.70995159e-01
4.07766366e+01, 1.90445912e+00, 1.90445912e+00, 8.73010693e-01
4.23153776e+01, 1.90866147e+00, 1.90866147e+00, 8.74491783e-01
4.38541186e+01, 1.91218102e+00, 1.91218102e+00, 8.75799957e-01
4.53928596e+01, 1.91509521e+00, 1.91509521e+00, 8.77006614e-01
4.69316006e+01, 1.91746739e+00, 1.91746739e+00, 8.77840654e-01
4.84703416e+01, 1.91936091e+00, 1.91936091e+00, 8.78487880e-01
5.00090826e+01, 1.92083209e+00, 1.92083209e+00, 8.78827301e-01
5.15478236e+01, 1.92191611e+00, 1.92191611e+00, 8.79280573e-01
5.30865646e+01, 1.92266226e+00, 1.92266226e+00, 8.79490865e-01
5.46253056e+01, 1.92309164e+00, 1.92309164e+00, 8.79515275e-01
5.61640466e+01, 1.92324650e+00, 1.92324650e+00, 8.79557191e-01
5.77027877e+01, 1.92314092e+00, 1.92314092e+00, 8.79283809e-01
5.92415287e+01, 1.92280304e+00, 1.92280304e+00, 8.79214100e-01
6.07802697e+01, 1.92226103e+00, 1.92226103e+00, 8.78972559e-01
6.23190107e+01, 1.92152192e+00, 1.92152192e+00, 8.78497924e-01
6.38577517e+01, 1.92060684e+00, 1.92060684e+00, 8.77910903e-01
6.53964927e+01, 1.91952985e+00, 1.91952985e+00, 8.77329118e-01
6.69352337e+01, 1.91829801e+00, 1.91829801e+00, 8.76871811e-01
6.84739747e+01, 1.91693946e+00, 1.91693946e+00, 8.76225077e-01
7.00127157e+01, 1.91544717e+00, 1.91544717e+00, 8.75474954e-01
7.15514567e+01, 1.91384225e+00, 1.91384225e+00, 8.74706862e-01
7.30901977e+01, 1.91212471e+00, 1.91212471e+00, 8.74003605e-01
7.46289387e+01, 1.91030862e+00, 1.91030862e+00, 8.73213438e-01
7.61676797e+01, 1.90839398e+00, 1.90839398e+00, 8.72161293e-01
7.77064207e+01, 1.90640191e+00, 1.90640191e+00, 8.71394110e-01
7.92451617e+01, 1.90432538e+00, 1.90432538e+00, 8.70489490e-01
8.07839027e+01, 1.90217141e+00, 1.90217141e+00, 8.69498733e-01
8.23226437e+01, 1.89994705e+00, 1.89994705e+00, 8.68470997e-01
8.38613847e+01, 1.89766638e+00, 1.89766638e+00, 8.67456910e-01
8.54001257e+01, 1.89531532e+00, 1.89531532e+00, 8.66508378e-01
8.69388667e+01, 1.89290794e+00, 1.89290794e+00, 8.65396470e-01
8.84776077e+01, 1.89045129e+00, 1.89045129e+00, 8.64437594e-01
9.00163487e+01, 1.88793833e+00, 1.88793833e+00, 8.63393819e-01
9.15550897e+01, 1.88537610e+00, 1.88537610e+00, 8.62005354e-01
9.30938307e+01, 1.88277866e+00, 1.88277866e+00, 8.60884857e-01
9.46325717e+01, 1.88013196e+00, 1.88013196e+00, 8.59780120e-01
9.61713128e+01, 1.87745006e+00, 1.87745006e+00, 8.58415841e-01
9.77100538e+01, 1.87472592e+00, 1.87472592e+00, 8.57433506e-01
9.92487948e+01, 1.87196659e+00, 1.87196659e+00, 8.56247193e-01
1.00787536e+02, 1.86917911e+00, 1.86917911e+00, 8.55196001e-01
1.02326277e+02, 1.86635642e+00, 1.86635642e+00, 8.53985763e-01
1.03865018e+02, 1.86350558e+00, 1.86350558e+00, 8.52632496e-01
1.05403759e+02, 1.86062659e+00, 1.86062659e+00, 8.51154845e-01
1.06942500e+02, 1.85771944e+00, 1.85771944e+00, 8.49909104e-01
1.08481241e+02, 1.85479117e+00, 1.85479117e+00, 8.48927773e-01
1.10019982e+02, 1.85183474e+00, 1.85183474e+00, 8.47541849e-01
1.11558723e+02, 1.84885016e+00, 1.84885016e+00, 8.46107205e-01
1.13097464e+02, 1.84585150e+00, 1.84585150e+00, 8.44999655e-01
1.14636205e+02, 1.84283172e+00, 1.84283172e+00, 8.43885599e-01
1.16174946e+02, 1.83979083e+00, 1.83979083e+00, 8.42412724e-01
1.17713687e+02, 1.83672881e+00, 1.83672881e+00, 8.40957615e-01
1.19252428e+02, 1.83365272e+00, 1.83365272e+00, 8.39535035e-01
1.20791169e+02, 1.83055551e+00, 1.83055551e+00, 8.38541874e-01
1.22329910e+02, 1.82744423e+00, 1.82744423e+00, 8.37236293e-01
1.23868651e+02, 1.82431886e+00, 1.82431886e+00, 8.35619140e-01
1.25407392e+02, 1.82117238e+00, 1.82117238e+00, 8.34483790e-01
1.26946133e+02, 1.81801886e+00, 1.81801886e+00, 8.33057598e-01
1.28484874e+02, 1.81484422e+00, 1.81484422e+00, 8.31344657e-01
1.30023615e+02, 1.81166255e+00, 1.81166255e+00, 8.30162559e-01
1.31562356e+02, 1.80845975e+00, 1.80845975e+00, 8.29127221e-01
1.33101097e+02, 1.80524992e+00, 1.80524992e+00, 8.27836814e-01
1.34639838e+02, 1.80203304e+00, 1.80203304e+00, 8.26289871e-01
1.36178579e+02, 1.79879505e+00, 1.79879505e+00, 8.24917519e-01
1.37717320e+02, 1.79555002e+00, 1.79555002e+00, 8.23302636e-01
1.39256061e+02, 1.79229796e+00, 1.79229796e+00, 8.21880686e-01
1.40794802e+02, 1.78903181e+00, 1.78903181e+00, 8.20667003e-01
1.42333543e+02, 1.78575862e+00, 1.78575862e+00, 8.19232453e-01
1.43872284e+02, 1.78247136e+00, 1.78247136e+00, 8.18025997e-01
1.45411025e+02, 1.77917706e+00, 1.77917706e+00, 8.16608980e-01
1.46949766e+02, 1.77587571e+00, 1.77587571e+00, 8.15439579e-01
1.48488507e+02, 1.77256029e+00, 1.77256029e+00, 8.14071620e-01
1.50027248e+02, 1.76923783e+00, 1.76923783e+00, 8.12042403e-01
1.51565989e+02, 1.76590834e+00, 1.76590834e+00, 8.10744411e-01
1.53104730e+02, 1.76257180e+00, 1.76257180e+00, 8.09733028e-01
1.54643471e+02, 1.75922822e+00, 1.75922822e+00, 8.08067422e-01
1.56182212e+02, 1.75587057e+00, 1.75587057e+00, 8.06697148e-01
1.57720953e+02, 1.75251291e+00, 1.75251291e+00, 8.05153028e-01
